source,product_key,supplier_key,category_key,model_key,variant_key,official_article,title,url,price,available,stock,lead_time_days,rating,reviews_count,_official_title,_official_price,_kaspi_title,_notes
manual,demiand_air_fryer_accessory_aa_103,demiand,air_fryer_accessories,tison,,AA-103,"Держатель для тостов к аэрогрилям DEMIAND Tison DK-1416 и Waison DK-1800",https://demiand.ru/product/derzhatel-dlya-tostov-k-aerogrilyu-demiand-kitchen-tison-dk-1416/,1900,true,3,20,,,"Держатель для тостов к аэрогрилям DEMIAND Tison DK-1416 и Waison DK-1800",1900,"VAITAN Demiand Держатель для тостов к аэрогрилям DEMIAND Tison DK-1416 и Waison DK-1800 аксессуар для аэрогриля","контрольная реальная manual-строка; product_key не менять"
manual,demiand_air_fryer_tison_wifi_metal,demiand,air_fryers,tison,wifi_metal,DK-1416/Wifi,"Аэрогриль DEMIAND TISON c Wifi управлением",https://demiand.ru/product/%d0%b0%d1%8d%d1%80%d0%be%d0%b3%d1%80%d0%b8%d0%bb%d1%8c-%d0%b0%d1%8d%d1%80%d0%be%d1%84%d1%80%d0%b8%d1%82%d1%8e%d1%80%d0%bd%d0%b8%d1%86%d0%b0-demiand-tison-%d1%81-%d1%83%d0%bf%d1%80%d0%b0%d0%b2%d0%bb/,24500,true,2,20,,,"Аэрогриль DEMIAND TISON c Wifi управлением",24500,"VAITAN Demiand Tison аэрогриль металлик 14.5л Wi-Fi 16 программ","контрольная реальная manual-строка; product_key не менять"
manual,demiand_coffee_maker_kf_3500_ash,demiand,coffee_makers,kf_3500,ash,KF-3500/Пепельная,"Кофеварка рожковая DEMIAND RIVO 7 В 1 с автоматическим капучинатором",https://demiand.ru/product/%d0%ba%d0%be%d1%84%d0%b5%d0%b2%d0%b0%d1%80%d0%ba%d0%b0-%d1%80%d0%be%d0%b6%d0%ba%d0%be%d0%b2%d0%b0%d1%8f-demiand-rivo-7-%d0%b2-1-%d1%81-%d0%b0%d0%b2%d1%82%d0%be%d0%bc%d0%b0%d1%82%d0%b8%d1%87%d0%b5/,24500,true,1,20,,,"Кофеварка рожковая DEMIAND RIVO 7 В 1 с автоматическим капучинатором",24500,"VAITAN Demiand Кофеварка рожковая DEMIAND RIVO 7 В 1 с автоматическим капучинатором","контрольная реальная manual-строка; product_key не менять"
